Rbr;Tekst;Odgovor;Tezina
1;Koji je stripovski junak rođen u Valletti 10. srpnja 1887. kao sin britanskog mornara iz Cornwalla i ciganske vještice iz Andaluzije, a prvi se put pojavio u Baladi o slanome moru?;CORTO MALTESE;2
2;Ime kojega bi se vojskovođe i jednoga od najvećih antičkih stratega s njegova materinskog jezika moglo prevesti kao "dar Baalov" ili "milost Baalova"?;HANIBAL Barka;2
3;Koja se najkraća i najjednostavnija riječ u Morseovu kodu sastavljena od triju kratkih, triju dugih i još triju kratkih signala koristi kao međunarodni signal za pomoć?;SOS;1
4;Po kojem je češkom studentu nazvan asteroid broja 1834, koji je u hamburškom opservatoriju 1969. godine otkrio astronom Luboš Kohoutek?;Jan PALACH;4
5;Biznismen i pisac Dimitrios Vikelas upamćen je kao prvi predsjednik koje međunarodne sportske organizacije, na čijem je čelu bio od 1894. do 1896. godine?;MEĐUNARODNI OLIMPIJSKI ODBOR;4
6;Koja je najveća živuća vrsta glodavaca, čije ime na gvaranskom jeziku znači vlasnik trava"?;KAPIBARA/VODENPRASE;3
7;Koja je sovjetska videoigrica na Zapad lansirana 1986. godine pod marketinškim sloganom "From Russia with Love"?;TETRIS;2
8;Koje je čuveno natjecanje ljepote, jedno od četiriju najznačajnijih te vrste u svijetu, 1951. godine pokrenuo Britanac Eric Morley?;Izbor za MISS SVIJETA;2
9;Na kojem se polju u Lici 1493. godine dogodila bitka u kojoj je osmanska vojska pod vodstvom bosanskog sandžak-bega Hadum Jakub-paše porazila hrvatsku feudalnu vojsku pod zapovjedništvom bana Emerika Derenčina?;KRBAVSKO polje;3
10;Na kojem je TV kanalu, koji je s emitiranjem počeo prvog kolovoza 1981. godine, nakon uvodnog priloga prvi prikazani spot bio onaj za pjesmu Video Killed the Radio Star dvojca The Buggles?;MTV;1
11;Vaganova, Cecchetti, Bournonville i Balanchine međunarodno su priznate metode treniranja i podučavanja koje forme izvedbene umjetnosti?;BALET;4
12;U značenju "sveto" ili "zabranjeno" na tonganskom jeziku, koji no označava zabranjen predmet, radnju ili riječ koji proizlaze iz se četveroslovni pojam javlja u gotovo svim kulturama i originalnepovredivosti i posvećenosti nekih osoba, životinja ili mjesta?;TABU;2
13;Koja je pop-pjevačica početkom 2019. pjesmama 7 Rings, Break Up With Your Girlfriend, I'm Bored i Thank U, Next u istom tjednu zasjela na prva tri mjesta ljestvice Billboard Hot 100, čime je ušla u povijest kao prva s tim uspjehom još od Beatlesa 1964.?;Ariana GRANDE;2
14;U koje se naselje – dvadesetak kilometara udaljeno od središta Los Angelesa nakon ulične tučnjave iz Philadelphije preselio William Smith, u televizijskoj seriji originalno emitiranoj na NBC-ju od 1990. do 1996. godine?;BEL AIR;1
15;Na preporuku Matice ilirske, ep kojega je baroknog književnika dopunio Ivan Mažuranić napisavši 14. i 15. pjevanje?;Ivan GUNDULIĆ;3
16;Koji je kviz, po mnogima najpopularniji u Hrvatskoj i zemljama bivše Jugoslavije, počinjao pjesmom Child of Vision britanske grupe Supertramp?;KVISKOTEKA;3
17;Tko je nekoliko mjeseci prije smrti 2013. godine napisao pismo ruskom svećeniku u kojemu je stajalo: "Stalno me muči isto neodgovoreno pitanje ako je moja puška oduzela ljudske živote, jesam li onda ja... kršćanin i pravoslavac, odgovoran za te smrti?";Mihail KALAŠNJIKOV;4
18;Kako se zvala rimska svečanost i državni blagdan u čast ocu vrhovnog rimskog boga tijekom prosinca, kada su se nakon završetka svih poljodjelskih poslova priređivale gozbe, pijanke i medusobna darivanja?;SATURNALIJE;4
19;Koji je oko 800 kilometara dug hodočasnički put Vijeće Europe 1987. godine proglasilo prvom europskom kulturnom rutom?;Put SVETOG JAKOVA / CAMINO de Santiago;4
20;Kako se zove jedno od najdojmljivijih zviježđa, čijih sedam najsjajnijih zvijezda predstavlja ramena i koljena mitskog diva, a još tri zvijezde njegov pojas? Zbog svog specifičnog položaja zviježde je vidljivo sa svih strana svijeta.;ORION/LOVAC;4
21;Kako nazivamo najmanju smještajnu jedinicu površine 20 40 m2, koja se sastoji od jedne prostorije s više funkcija, a ime joj dolazi od francuske riječi za "momka" ili "dečka"? Nekada se taj smještaj odnosio isključivo na momački stan, malu stambenu jedinicu predviđenu isključivo za muškarce jer nije imala kuhinju.;GARSONIJERA (fr. garçon mladić, momak);3
22;Kako bi "kompletirao" slavnu hrvatsku petorku, tko se u rujnu 2021. godine u Springfieldu priključio Mirku Novoselu, Kreši Ćosiću, Draženu Petroviću i Dinu Radi?;Toni KUKOČ;4
23;Prosječna joj duljina zauzima gotovo 27 posto visine ljudskog tijela i s pomoću nje dosta je pouzdano ustanoviti visinu ljudi bez obzira na etničku pripadnost, pa je korisna u antropologiji zbog određivanja visine iz nepotpunih kostura. Kako se zova ta najdulja i najčvršća kost u ljudskom tijelu?;BEDRENA/NATKOLJENIČNA/FEMUR;1
24;Kako se zove amaterska sportska utrka tradicionalnih autohtonih plovila u dolini Neretve, koja se od 1998. godine održava druge subote u kolovozu, na relaciji dugoj 22 500 metara?;MARATON LAÐA;3
25;Koju je mladu ekološku aktivisticu časopis Time proglasio osobom 2019. godine, čime je postala najmlađa osoba koja se ikad našla na toj poziciji?;Greta THUNBERG;2
26;Koji je trovolumenski, izduženi, najčešće luksuzni automobil s nepokretnim krovom nazvan po dugačkim kaputima pastira iz bivše francuske administrativne regije čije je središte bio grad Limoges?;LIMUZINA (regija Limousin);2
27;Spot s amsterdamskog rock-festivala, u kojem su na engleski prepjevali jedan od svojih najvećih hitova, kojeg je benda 1988. godine postao prvi videospot nekog izvođača s područja bivše Jugoslavije prikazan na MTV-u?;PSIHOMODO POP;3
28;Temeljena na istoimenom bestseleru Anthonyja Bourdaina, kako se zove humoristična serija koja otkriva tajne poslovanja restorana uz zabavnu priču o darovitom kuharu (Bradley Cooper) s problemom ovisnosti, ali odlučnom vratiti se na gastronomski vrh?;DOSJE KUHINJA / KITCHEN CONFIDENTIAL;3
